86.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Bacillales_unclassified
15.0	Bacteria	Firmicutes	Bacilli	Bacillales	Family_XII	Exiguobacterium
55.0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
13.0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillaceae
3.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Domibacillus
31.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus
68.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus
13.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
10.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcaceae
9.0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
10.0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces
13.0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomycetaceae
85.0	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified	Bacilli_unclassified	Bacilli_unclassified
21.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
22.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerosphaera
10.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus
26.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium
36.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus
38.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
127.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
3.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillaceae
30.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillales_unclassified	Lactobacillales_unclassified
3.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
43.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
631.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
2.0	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified
6.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
67.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
83.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridiaceae_1
22.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified
217.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus
119.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia
17.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Keratinibaculum
35.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus
44.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Family_XI
1.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Family_XIII
4.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Hydrogenispora
14.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
79.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
97.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae
4.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_uncultured
